name,value
United States,-858.0505562
Japan,-561.863597
Germany,-331.1255205
France,-233.5650942
United Kingdom,-158.7781173
Netherlands,-133.8942256
Canada,-109.01534
Sweden,-90.99158163
Australia,-83.67764868
Norway,-77.26044327
Italy,-74.69484842
Spain,-53.05516369
Switzerland,-51.80679485
Denmark,-48.25060275
Belgium,-38.66920307
Kuwait,-35.99074864
Saudi Arabia,-26.81719862
United Arab Emirates,-23.86657795
Austria,-20.36573945
Finland,-18.63848608
Portugal,-10.817485
Ireland,-7.582174215
New Zealand,-4.602936508
Luxembourg,-3.524804896
Greece,-2.759767999
Taiwan,-1.953336012
Czech Republic,-0.497112592
South Africa,-0.242530185
Ghana,0
Israel,0
Mozambique,0
Tunisia,0
Congo,0
Kenya,0
Ethiopia,0
Afghanistan,0
Tanzania,0
Peru,0
Nigeria,0
Poland,-0.136907374
Iraq,0
Thailand,-0.03185623
Morocco,0
Viet Nam,0
Korea,-25.75617536
Colombia,-0.010939497
Russia,0
Bangladesh,0
Philippines,0
Egypt,0
Pakistan,0
Argentina,0
Turkey,0
China,0
Mexico,0
Indonesia,0
Brazil,-0.205351019
India,-4.218551756
United States,1.085852217
Japan,8.720995491
Germany,0
France,2.272053072
United Kingdom,0.989287922
Netherlands,1.979329102
Canada,4.073780999
Sweden,0.059757155
Australia,5.922834324
Norway,1.527481576
Italy,5.54336755
Spain,3.516777234
Switzerland,0
Denmark,0.839240224
Belgium,0.801283659
Kuwait,7.906709139
Saudi Arabia,5.17607856
United Arab Emirates,0.425610876
Austria,1.631919523
Finland,2.446657725
Portugal,20.31894635
Ireland,15.32292562
New Zealand,1.107319534
Luxembourg,0.652363109
Greece,21.09569109
Taiwan,6.365303424
Czech Republic,12.75115074
South Africa,37.06008055
Ghana,54.73404032
Israel,59.19046001
Mozambique,61.11041078
Tunisia,61.94367756
Congo,62.9212817
Kenya,66.95607884
Ethiopia,67.89834443
Afghanistan,72.26897721
Tanzania,83.59597699
Peru,85.47257961
Nigeria,86.11190772
Poland,91.96552608
Iraq,93.46724277
Thailand,94.83642088
Morocco,97.41101421
Viet Nam,97.51113935
Korea,99.57781005
Colombia,125.1663262
Russia,126.3813554
Bangladesh,133.0263865
Philippines,133.3013732
Egypt,168.6680218
Pakistan,176.1398841
Argentina,213.5254275
Turkey,222.6314507
China,240.9716709
Mexico,286.1411533
Indonesia,297.5343385
Brazil,338.9968458
India,386.9964933
