country,color,latitude,longitude,donated,received,radius
Afghanistan,2,33.93911,67.709953,,72.27,3
Albania,2,41.153332,20.168331,,11.11,1
Algeria,2,28.033886,1.659626,,44.28,2
Angola,2,-11.202692,17.873887,,17.02,1
Argentina,2,-38.416097,-63.616672,,213.53,5
Armenia,2,40.069099,45.038189,,9.73,0.5
Australia,1,-25.274398,133.775136,83.67,5.92,2
Austria,1,47.516231,14.550072,20.37,1.63,1
Azerbaijan,2,40.143105,47.576927,,12.56,1
Bahamas,2,25.03428,-77.39628,,1.25,0.5
Bahrain,2,25.930414,50.637772,,4.09,0.5
Bangladesh,2,23.684994,90.356331,,133.03,4
Barbados,2,13.193887,-59.543198,,2.49,0.5
Belarus,2,53.709807,27.953389,,4.67,0.5
Belgium,1,50.503887,4.469936,38.67,0.8,1
Bermuda,2,32.321384,-64.75737,,0.07,0.5
Bhutan,2,27.514162,90.433601,,3.73,0.5
Bolivia,2,-16.290154,-63.588653,,49.63,2
Botswana,2,-22.328474,24.684866,,11.7,1
Brazil,2,-14.235004,-51.92528,0.21,339,6
Brunei,2,4.535277,114.727669,,0.02,0.5
Bulgaria,2,42.733883,25.48583,,15.89,1
Cambodia,2,12.565679,104.990963,,17.88,1
Cameroon,2,7.369722,12.354722,,40.02,2
Canada,1,56.130366,-106.346771,109.02,4.07,3
Cayman Islands,2,19.513469,-80.566956,,0.22,0.5
Central African Republic,2,6.611111,20.939444,,7.82,0.5
Chad,2,15.454166,18.732207,,14.85,1
Chile,2,-35.675147,-71.542969,0.01,36.53,2
Congo,2,-4.038333,21.758664,,6.29,1
China,2,35.86166,104.195397,,240.97,5
Colombia,2,4.570868,-74.297333,0.01,125.17,4
Costa rica,2,9.748917,-83.753428,,20.18,1
Croatia,2,45.1,15.2,,14.69,1
Cuba,2,21.521757,-77.781167,,3.93,0.5
Cyprus,2,35.126413,33.429859,0.02,3.24,0.5
Czech republic,2,49.817492,15.472962,0.5,12.75,1
Denmark,1,56.26392,9.501785,48.25,0.84,1
Dominica,2,15.414999,-61.370976,,2.2,0.5
Dominican Republic,2,18.735693,-70.162651,,25.02,1
Ecuador,2,-1.831239,-78.183406,,41.11,2
Egypt,2,26.820553,30.802498,,168.67,4
El Salvador,2,13.794185,-88.89653,,26.97,1
Equatorial Guinea,2,1.650801,10.267895,,1.83,0.5
Eritrea,2,15.179384,39.782334,,4.85,0.5
Estonia,2,58.595272,25.013607,0.03,2.04,0.5
Ethiopia,2,9.145,40.489673,,67.9,3
Fiji,2,-16.578193,179.414413,,3.76,0.5
Finland,1,61.92411,25.748151,18.64,2.45,1
France,1,46.227638,2.213749,233.57,2.27,3
French Guiana,2,3.933889,-53.125782,,0,0.5
French Polynesia,2,-17.679742,-149.406843,,2.24,0.5
Gabon,2,-0.803689,11.609444,,10.03,1
Gambia,2,13.443182,-15.310139,,4.9,0.5
Georgia,2,42.315407,43.356892,,14.21,1
Germany,1,51.165691,10.451526,331.13,0,4
Ghana,2,7.946527,-1.023194,,54.73,3
Gibraltar,2,36.137741,-5.345374,,0.36,0.5
Greece,2,39.074208,21.824312,2.76,21.1,1
Guatemala,2,15.783471,-90.230759,,26.27,1
Guinea,2,9.945587,-9.696645,,17.72,1
Guyana,2,4.860416,-58.93018,,8.1,0.5
Haiti,2,18.971187,-72.285215,,25.03,1
Honduras,2,15.199999,-86.241905,,28.28,1
Hungary,2,47.162494,19.503304,0.03,31.44,2
Iceland,2,64.963051,-19.020835,0.15,1.25,0.5
India,2,20.593684,78.96288,4.22,387,6
Indonesia,2,-0.789275,113.921327,,297.53,5
Iran,2,32.427908,53.688046,,17.99,1
Iraq,2,33.223191,43.679291,,93.47,3
Ireland,2,53.41291,-8.24389,7.58,15.32,1
Israel,2,31.046051,34.851612,,59.19,3
Italy,1,41.87194,12.56738,74.69,5.54,2
Jamaica,2,18.109581,-77.297508,,22.14,1
Japan,1,36.204824,138.252924,561.86,8.72,5
Jordan,2,30.585164,36.238414,,42.82,2
Kazakhstan,2,48.019573,66.923684,,23.78,1
Kenya,2,-0.023559,37.906193,,66.96,3
Kiribati,2,-3.370417,-168.734039,,1.36,0.5
Kosovo,2,42.602636,20.902977,,5.35,0.5
Kuwait,1,29.31166,47.481766,35.99,7.91,1
