country,purpose,latitude,longitude,amount,radius,color
Brazil,general budget support,-14.235004,-51.92528,114.491,6,1
Argentina,general budget support,-38.416097,-63.616672,89.877,6,1
Mexico,general budget support,23.634501,-102.552784,77.215,6,1
Turkey,general budget support,38.963745,35.243322,61.920,6,1
Israel,general budget support,31.046051,34.851612,44.199,6,1
Indonesia,general budget support,-0.789275,113.921327,37.012,6,1
Russia,general budget support,61.52401,105.318756,27.958,6,1
Poland,general budget support,51.919438,19.145136,22.787,6,1
Ukraine,general budget support,48.379433,31.16558,20.255,6,1
Greece,general budget support,39.074208,21.824312,18.460,6,1
Portugal,general budget support,39.399872,-8.224454,16.229,6,2
Pakistan,general budget support,30.375321,69.345116,15.983,6,2
India,general budget support,20.593684,78.96288,15.921,6,2
Papua New Guinea,general budget support,-6.314993,143.95555,15.639,6,2
Colombia,general budget support,4.570868,-74.297333,14.791,6,2
Romania,general budget support,45.943161,24.96676,13.626,6,2
Thailand,general budget support,15.870032,100.992541,12.959,6,2
Hungary,general budget support,47.162494,19.503304,11.534,6,2
Tanzania,general budget support,-6.369028,34.888822,11.284,6,2
Philippines,general budget support,12.879721,121.774017,10.215,6,2
Egypt,general budget support,26.820553,30.802498,9.096,5,2
Ghana,general budget support,7.946527,-1.023194,8.597,5,2
Uruguay,general budget support,-32.522779,-55.765835,7.757,5,2
Mozambique,general budget support,-18.665695,35.529562,7.191,5,2
Venezuela,general budget support,6.42375,-66.58973,7.169,5,2
Zambia,general budget support,-13.133897,27.849332,6.575,5,2
Peru,general budget support,-9.189967,-75.015152,6.185,5,2
Uganda,general budget support,1.373333,32.290275,6.101,5,2
Kenya,general budget support,-0.023559,37.906193,5.874,5,2
Chile,general budget support,-35.675147,-71.542969,5.251,5,2
Cameroon,general budget support,7.369722,12.354722,5.173,5,2
Morocco,general budget support,31.791702,-7.09262,4.788,4,2
Senegal,general budget support,14.497401,-14.452362,4.746,4,2
Bangladesh,general budget support,23.684994,90.356331,4.531,4,2
Nigeria,general budget support,9.081999,8.675277,4.346,4,2
Burkina Faso,general budget support,12.238333,-1.561593,4.212,4,2
Sri Lanka,general budget support,7.873054,80.771797,4.097,4,2
Mali,general budget support,17.570692,-3.996166,3.911,4,2
Jordan,general budget support,30.585164,36.238414,3.896,4,2
Bulgaria,general budget support,42.733883,25.48583,3.768,4,2
Ethiopia,general budget support,9.145,40.489673,3.684,4,2
