country,purpose,latitude,longitude,amount,radius,color
China,road transport,35.86166,104.195397,28.088,6,1
India,road transport,20.593684,78.96288,23.271,6,1
Brazil,road transport,-14.235004,-51.92528,19.962,6,1
Indonesia,road transport,-0.789275,113.921327,17.288,6,1
Philippines,road transport,12.879721,121.774017,10.992,6,1
Argentina,road transport,-38.416097,-63.616672,9.958,5,1
Bolivia,road transport,-16.290154,-63.588653,8.586,5,1
Thailand,road transport,15.870032,100.992541,8.464,5,1
Bangladesh,road transport,23.684994,90.356331,8.316,5,1
Peru,road transport,-9.189967,-75.015152,8.285,5,1
Colombia,road transport,4.570868,-74.297333,7.720,5,2
Tanzania,road transport,-6.369028,34.888822,7.209,5,2
Mexico,road transport,23.634501,-102.552784,7.098,5,2
Pakistan,road transport,30.375321,69.345116,6.400,5,2
Ethiopia,road transport,9.145,40.489673,6.393,5,2
Morocco,road transport,31.791702,-7.09262,6.233,5,2
Kenya,road transport,-0.023559,37.906193,5.861,5,2
Kazakhstan,road transport,48.019573,66.923684,5.037,5,2
Turkey,road transport,38.963745,35.243322,4.778,4,2
Ecuador,road transport,-1.831239,-78.183406,4.427,4,2
Afghanistan,road transport,33.93911,67.709953,4.252,4,2
Sri Lanka,road transport,7.873054,80.771797,4.248,4,2
Ghana,road transport,7.946527,-1.023194,4.221,4,2
Tunisia,road transport,33.886917,9.537499,4.098,4,2
Cameroon,road transport,7.369722,12.354722,3.870,4,2
Poland,road transport,51.919438,19.145136,3.446,4,2
Chile,road transport,-35.675147,-71.542969,3.280,4,2
Japan,road transport,36.204824,138.252924,3.161,4,2
Uganda,road transport,1.373333,32.290275,3.136,4,2
Mozambique,road transport,-18.665695,35.529562,3.105,4,2
Burkina Faso,road transport,12.238333,-1.561593,3.030,4,2
Madagascar,road transport,-18.766947,46.869107,2.976,4,2
Nepal,road transport,28.394857,84.124008,2.974,4,2
Russia,road transport,61.52401,105.318756,2.816,4,2
Nigeria,road transport,9.081999,8.675277,2.747,4,2
Sudan,road transport,12.862807,30.217636,2.715,4,2
Venezuela,road transport,6.42375,-66.58973,2.712,4,2
Zambia,road transport,-13.133897,27.849332,2.710,4,2
Yemen,road transport,15.552727,48.516388,2.609,4,2
Honduras,road transport,15.199999,-86.241905,2.607,4,2
Uruguay,road transport,-32.522779,-55.765835,2.497,4,2
Senegal,road transport,14.497401,-14.452362,2.494,4,2
Papua New Guinea,road transport,-6.314993,143.95555,2.326,4,2
Paraguay,road transport,-23.442503,-58.443832,2.272,4,2
Panama,road transport,8.537981,-80.782127,2.238,4,2
Mali,road transport,17.570692,-3.996166,2.232,4,2
