group,variable,donated,received,value
Afghanistan,1964,,25.4310,-25.4310
Afghanistan,1969,,34.9170,-34.9170
Afghanistan,1970,,71.0171,-71.0171
Afghanistan,1971,,32.5079,-32.5079
Afghanistan,1972,,1.7002,-1.7002
Afghanistan,1973,,268.6615,-268.6615
Afghanistan,1974,,174.5909,-174.5909
Afghanistan,1975,,122.6721,-122.6721
Afghanistan,1976,,362.8981,-362.8981
Afghanistan,1977,,385.1916,-385.1916
Afghanistan,1978,,303.9471,-303.9471
Afghanistan,1979,,280.0581,-280.0581
Afghanistan,1980,,1.8934,-1.8934
Afghanistan,1981,,0.9095,-0.9095
Afghanistan,1982,,0.7325,-0.7325
Afghanistan,1983,,4.0922,-4.0922
Afghanistan,1984,,3.4021,-3.4021
Afghanistan,1985,,13.0043,-13.0043
Afghanistan,1986,,43.0285,-43.0285
Afghanistan,1987,,64.3841,-64.3841
Afghanistan,1988,,108.7647,-108.7647
Afghanistan,1989,,143.5867,-143.5867
Afghanistan,1990,,138.1567,-138.1567
Afghanistan,1991,,114.2123,-114.2123
Afghanistan,1992,,125.2160,-125.2160
Afghanistan,1993,,91.9684,-91.9684
Afghanistan,1994,,68.7551,-68.7551
Afghanistan,1995,,130.2722,-130.2722
Afghanistan,1996,,138.9595,-138.9595
Afghanistan,1997,,223.6546,-223.6546
Afghanistan,1998,,195.0750,-195.0750
Afghanistan,1999,,216.5315,-216.5315
Afghanistan,2000,,236.8397,-236.8397
Afghanistan,2001,,868.5859,-868.5859
Afghanistan,2002,,4839.9453,-4839.9453
Afghanistan,2003,,3486.7325,-3486.7325
Afghanistan,2004,,3767.5969,-3767.5969
Afghanistan,2005,,4394.5724,-4394.5724
Afghanistan,2006,,4257.9326,-4257.9326
Afghanistan,2007,,5111.9345,-5111.9345
Afghanistan,2008,,6708.4204,-6708.4204
Afghanistan,2009,,6679.7741,-6679.7741
Afghanistan,2010,,8300.5954,-8300.5954
Afghanistan,2011,,6606.9141,-6606.9141
Afghanistan,2012,,6453.9374,-6453.9374
Afghanistan,2013,,6654.7159,-6654.7159
Afghanistan,9999,,10.2885,-10.2885
Albania,1989,,2.9674,-2.9674
Albania,1991,,85.5311,-85.5311
Albania,1992,,192.1050,-192.1050
Albania,1993,,283.4677,-283.4677
Albania,1994,,232.2770,-232.2770
Albania,1995,,282.1121,-282.1121
Albania,1996,,284.8742,-284.8742
Albania,1997,,248.7296,-248.7296
Albania,1998,,569.7380,-569.7380
Albania,1999,,1059.4097,-1059.4097
Albania,2000,,534.4901,-534.4901
Albania,2001,,496.3351,-496.3351
Albania,2002,,663.8035,-663.8035
Albania,2003,,637.2304,-637.2304
Albania,2004,,618.4468,-618.4468
Albania,2005,,562.1338,-562.1338
Albania,2006,,698.1272,-698.1272
Albania,2007,,527.5620,-527.5620
Albania,2008,,621.9836,-621.9836
Albania,2009,,309.8909,-309.8909
Albania,2010,,514.8212,-514.8212
Albania,2011,,530.6404,-530.6404
Albania,2012,,392.7355,-392.7355
Albania,2013,,763.7422,-763.7422
Algeria,1955,,81.1027,-81.1027
Algeria,1959,,405.5137,-405.5137
Algeria,1964,,301.5384,-301.5384
Algeria,1967,,49.9420,-49.9420
Algeria,1971,,36.6011,-36.6011
Algeria,1973,,476.9063,-476.9063
Algeria,1974,,1361.2613,-1361.2613
Algeria,1975,,554.2102,-554.2102
Algeria,1976,,616.9221,-616.9221
Algeria,1977,,839.2978,-839.2978
Algeria,1978,,570.6388,-570.6388
Algeria,1979,,616.1653,-616.1653
Algeria,1980,,722.0801,-722.0801
Algeria,1981,,305.8083,-305.8083
Algeria,1982,,883.7633,-883.7633
Algeria,1983,,971.8733,-971.8733
Algeria,1984,,890.8860,-890.8860
Algeria,1985,,1012.0117,-1012.0117
Algeria,1986,,321.3253,-321.3253
Algeria,1987,,1372.5788,-1372.5788
Algeria,1988,,1519.7975,-1519.7975
Algeria,1989,,3132.8056,-3132.8056
Algeria,1990,,1086.2375,-1086.2375
Algeria,1991,,2462.8588,-2462.8588
Algeria,1992,,2225.9222,-2225.9222
Algeria,1993,,1912.1522,-1912.1522
Algeria,1994,,1244.5413,-1244.5413
Algeria,1995,,4060.5830,-4060.5830
Algeria,1996,,1425.0438,-1425.0438
Algeria,1997,,511.2336,-511.2336
Algeria,1998,,924.7861,-924.7861
Algeria,1999,,783.1533,-783.1533
Algeria,2000,,1411.4202,-1411.4202
Algeria,2001,,1645.1390,-1645.1390
Algeria,2002,,1953.2320,-1953.2320
Algeria,2003,,1131.9987,-1131.9987
Algeria,2004,,489.2497,-489.2497
Algeria,2005,,828.2077,-828.2077
Algeria,2006,,605.9470,-605.9470
Algeria,2007,,475.3649,-475.3649
Algeria,2008,,255.4267,-255.4267
Algeria,2009,,299.3709,-299.3709
Algeria,2010,,316.6992,-316.6992
Algeria,2011,,309.3491,-309.3491
Algeria,2012,,313.4619,-313.4619
Algeria,2013,,563.8471,-563.8471
Angola,1973,,0.0651,-0.0651
Angola,1974,,1.0857,-1.0857
Angola,1975,,5.5913,-5.5913
Angola,1976,,53.2118,-53.2118
Angola,1977,,91.4851,-91.4851
Angola,1978,,76.0489,-76.0489
Angola,1979,,133.7333,-133.7333
Angola,1980,,356.8687,-356.8687
Angola,1981,,130.0090,-130.0090
Angola,1982,,217.4711,-217.4711
Angola,1983,,390.2567,-390.2567
