purpose,year,amount,rank
Sectors not specified,1970,0.0001,9
Sectors not specified,1972,0.0002,9
Sectors not specified,1973,2.1600,9
Sectors not specified,1974,3.8535,9
Sectors not specified,1975,2.2271,9
Sectors not specified,1976,1.3067,9
Sectors not specified,1977,1.9387,9
Sectors not specified,1978,2.3346,9
Sectors not specified,1979,0.7484,9
Sectors not specified,1980,1.2124,9
Sectors not specified,1981,1.1128,9
Sectors not specified,1982,1.1404,9
Sectors not specified,1983,0.8522,9
Sectors not specified,1984,1.4529,9
Sectors not specified,1985,1.3505,9
Sectors not specified,1986,1.2920,9
Sectors not specified,1987,1.9989,9
Sectors not specified,1988,1.2756,9
Sectors not specified,1989,1.7346,9
Sectors not specified,1990,1.2581,9
Sectors not specified,1991,0.5928,9
Sectors not specified,1992,0.5164,9
Sectors not specified,1993,0.7704,9
Sectors not specified,1994,1.4338,9
Sectors not specified,1995,1.5613,9
Sectors not specified,1996,1.4370,9
Sectors not specified,1997,2.1890,9
Sectors not specified,1998,3.1484,9
Sectors not specified,1999,2.8630,9
Sectors not specified,2000,2.1151,9
Sectors not specified,2001,3.2863,9
Sectors not specified,2002,4.1797,9
Sectors not specified,2003,2.0037,9
Sectors not specified,2004,2.6388,9
Sectors not specified,2005,4.5821,9
Sectors not specified,2006,5.0791,9
Sectors not specified,2007,5.1406,9
Sectors not specified,2008,26.4985,9
Sectors not specified,2009,16.2361,9
Sectors not specified,2010,17.6968,9
Sectors not specified,2011,34.5315,9
Sectors not specified,2012,4.5452,9
Sectors not specified,2013,6.1154,9
Road Transport,1950,0.0406,8
Road Transport,1951,0.1622,8
Road Transport,1953,0.1695,8
Road Transport,1954,0.1590,8
Road Transport,1955,0.2701,8
Road Transport,1956,0.1549,8
Road Transport,1957,0.5637,8
Road Transport,1958,0.0446,8
Road Transport,1959,0.6245,8
Road Transport,1960,0.8573,8
Road Transport,1961,2.3475,8
Road Transport,1962,0.6318,8
Road Transport,1963,1.7845,8
Road Transport,1964,1.8623,8
Road Transport,1965,1.8580,8
Road Transport,1966,1.5031,8
Road Transport,1967,0.3039,8
Road Transport,1968,1.7388,8
Road Transport,1969,1.5964,8
Road Transport,1970,3.2468,8
Road Transport,1971,3.0649,8
Road Transport,1972,2.6336,8
Road Transport,1973,3.8197,8
Road Transport,1974,3.3292,8
Road Transport,1975,4.1043,8
Road Transport,1976,5.6539,8
Road Transport,1977,6.5358,8
Road Transport,1978,5.8722,8
Road Transport,1979,6.2530,8
Road Transport,1980,6.4267,8
Road Transport,1981,4.8115,8
Road Transport,1982,5.7690,8
Road Transport,1983,5.8823,8
Road Transport,1984,7.7264,8
Road Transport,1985,6.2865,8
Road Transport,1986,4.4899,8
Road Transport,1987,8.8768,8
Road Transport,1988,6.5118,8
Road Transport,1989,6.1312,8
Road Transport,1990,7.0179,8
Road Transport,1991,6.4434,8
Road Transport,1992,8.0525,8
Road Transport,1993,10.7205,8
Road Transport,1994,9.7578,8
Road Transport,1995,7.6867,8
Road Transport,1996,10.4102,8
Road Transport,1997,8.9071,8
Road Transport,1998,13.6058,8
Road Transport,1999,10.4044,8
Road Transport,2000,10.2253,8
Road Transport,2001,14.8876,8
Road Transport,2002,12.7450,8
Road Transport,2003,11.6437,8
Road Transport,2004,11.4721,8
Road Transport,2005,10.5613,8
Road Transport,2006,13.2328,8
Road Transport,2007,13.7865,8
Road Transport,2008,10.4453,8
Road Transport,2009,18.0441,8
Road Transport,2010,17.7620,8
Road Transport,2011,9.3492,8
Road Transport,2012,11.1667,8
Road Transport,2013,15.5556,8
Debt Forgiveness,1973,0.1257,2
Debt Forgiveness,1974,0.0605,2
Debt Forgiveness,1975,0.0643,2
Debt Forgiveness,1976,0.2268,2
Debt Forgiveness,1977,0.4341,2
Debt Forgiveness,1978,2.2616,2
Debt Forgiveness,1979,1.2977,2
Debt Forgiveness,1980,2.8829,2
Debt Forgiveness,1981,0.1939,2
Debt Forgiveness,1982,0.2032,2
Debt Forgiveness,1983,0.4968,2
Debt Forgiveness,1984,0.2899,2
Debt Forgiveness,1985,0.7794,2
Debt Forgiveness,1986,0.2772,2
Debt Forgiveness,1987,0.3320,2
Debt Forgiveness,1988,0.2523,2
Debt Forgiveness,1989,0.6729,2
Debt Forgiveness,1990,2.8849,2
Debt Forgiveness,1991,1.1371,2
Debt Forgiveness,1992,1.2122,2
Debt Forgiveness,1993,2.9011,2
Debt Forgiveness,1994,2.1300,2
Debt Forgiveness,1995,5.3310,2
Debt Forgiveness,1996,2.1600,2
Debt Forgiveness,1997,1.9549,2
Debt Forgiveness,1998,4.6332,2
Debt Forgiveness,1999,3.7627,2
Debt Forgiveness,2000,4.0064,2
Debt Forgiveness,2001,4.6401,2
Debt Forgiveness,2002,8.6530,2
Debt Forgiveness,2003,11.6457,2
Debt Forgiveness,2004,8.6708,2
Debt Forgiveness,2005,28.8369,2
Debt Forgiveness,2006,23.6479,2
Debt Forgiveness,2007,9.6197,2
Debt Forgiveness,2008,7.8061,2
Debt Forgiveness,2009,1.7314,2
Debt Forgiveness,2010,3.5793,2
Debt Forgiveness,2011,3.6573,2
Debt Forgiveness,2012,2.6992,2
Debt Forgiveness,2013,2.7763,2
