purpose,year,amount,rank
Industrial Development,1949,0.1298,4
Industrial Development,1952,0.5393,4
Industrial Development,1953,0.1622,4
Industrial Development,1955,0.0973,4
Industrial Development,1956,0.9984,4
Industrial Development,1957,0.2636,4
Industrial Development,1958,0.5920,4
Industrial Development,1959,0.4947,4
Industrial Development,1960,0.1217,4
Industrial Development,1961,0.4199,4
Industrial Development,1962,0.0500,4
Industrial Development,1963,0.2602,4
Industrial Development,1964,0.3110,4
Industrial Development,1966,0.6316,4
Industrial Development,1967,0.1819,4
Industrial Development,1968,0.6173,4
Industrial Development,1969,0.9238,4
Industrial Development,1970,1.7492,4
Industrial Development,1971,0.7467,4
Industrial Development,1972,3.4027,4
Industrial Development,1973,3.4626,4
Industrial Development,1974,6.9994,4
Industrial Development,1975,6.3522,4
Industrial Development,1976,6.0659,4
Industrial Development,1977,7.4689,4
Industrial Development,1978,4.4477,4
Industrial Development,1979,5.9536,4
Industrial Development,1980,5.8956,4
Industrial Development,1981,10.3522,4
Industrial Development,1982,9.4936,4
Industrial Development,1983,7.4121,4
Industrial Development,1984,8.1253,4
Industrial Development,1985,8.2118,4
Industrial Development,1986,5.9824,4
Industrial Development,1987,6.0944,4
Industrial Development,1988,8.2247,4
Industrial Development,1989,8.0433,4
Industrial Development,1990,6.7545,4
Industrial Development,1991,8.1467,4
Industrial Development,1992,10.6995,4
Industrial Development,1993,9.4617,4
Industrial Development,1994,8.3906,4
Industrial Development,1995,6.5432,4
Industrial Development,1996,10.9225,4
Industrial Development,1997,10.8407,4
Industrial Development,1998,5.2642,4
Industrial Development,1999,5.0644,4
Industrial Development,2000,4.7333,4
Industrial Development,2001,5.0167,4
Industrial Development,2002,7.7378,4
Industrial Development,2003,2.1367,4
Industrial Development,2004,2.4488,4
Industrial Development,2005,1.2507,4
Industrial Development,2006,1.8027,4
Industrial Development,2007,2.3565,4
Industrial Development,2008,0.8323,4
Industrial Development,2009,0.4607,4
Industrial Development,2010,0.8490,4
Industrial Development,2011,0.4277,4
Industrial Development,2012,2.4155,4
Industrial Development,2013,1.3197,4
Multisector Aid,1947,1.5815,5
Multisector Aid,1948,0.0324,5
Multisector Aid,1949,0.1014,5
Multisector Aid,1950,1.0787,5
Multisector Aid,1951,0.1014,5
Multisector Aid,1952,0.6602,5
Multisector Aid,1953,0.1582,5
Multisector Aid,1955,0.6488,5
Multisector Aid,1956,0.6050,5
Multisector Aid,1957,0.5920,5
Multisector Aid,1958,0.6083,5
Multisector Aid,1959,0.1622,5
Multisector Aid,1960,0.3406,5
Multisector Aid,1962,0.0861,5
Multisector Aid,1963,0.2298,5
Multisector Aid,1964,0.1490,5
Multisector Aid,1967,0.1926,5
Multisector Aid,1969,0.0980,5
Multisector Aid,1970,0.4298,5
Multisector Aid,1971,0.2776,5
Multisector Aid,1972,0.6223,5
Multisector Aid,1973,1.2430,5
Multisector Aid,1974,1.4849,5
Multisector Aid,1975,3.4751,5
Multisector Aid,1976,1.2222,5
Multisector Aid,1977,1.9497,5
Multisector Aid,1978,1.2802,5
Multisector Aid,1979,1.1496,5
Multisector Aid,1980,1.1682,5
Multisector Aid,1981,1.5497,5
Multisector Aid,1982,3.4682,5
Multisector Aid,1983,1.7744,5
Multisector Aid,1984,2.8288,5
Multisector Aid,1985,2.5488,5
Multisector Aid,1986,2.0156,5
Multisector Aid,1987,2.5031,5
Multisector Aid,1988,2.2415,5
Multisector Aid,1989,2.9865,5
Multisector Aid,1990,5.6825,5
Multisector Aid,1991,7.3895,5
Multisector Aid,1992,4.2391,5
Multisector Aid,1993,5.6119,5
Multisector Aid,1994,6.6183,5
Multisector Aid,1995,3.0235,5
Multisector Aid,1996,5.3480,5
Multisector Aid,1997,6.3791,5
Multisector Aid,1998,7.7900,5
Multisector Aid,1999,7.3716,5
Multisector Aid,2000,6.4062,5
Multisector Aid,2001,8.8104,5
Multisector Aid,2002,9.6206,5
Multisector Aid,2003,8.3489,5
Multisector Aid,2004,6.1268,5
Multisector Aid,2005,7.7152,5
Multisector Aid,2006,7.3622,5
Multisector Aid,2007,6.9811,5
Multisector Aid,2008,9.7812,5
Multisector Aid,2009,9.2365,5
Multisector Aid,2010,9.7468,5
Multisector Aid,2011,6.8607,5
Multisector Aid,2012,6.3474,5
Multisector Aid,2013,5.9740,5
Rail Transport,1949,0.2757,7
Rail Transport,1950,0.0243,7
Rail Transport,1952,0.3041,7
Rail Transport,1953,0.4582,7
Rail Transport,1954,0.5564,7
Rail Transport,1955,0.4307,7
Rail Transport,1956,0.0438,7
Rail Transport,1957,1.1890,7
Rail Transport,1958,1.7113,7
Rail Transport,1959,0.6010,7
Rail Transport,1960,0.6115,7
Rail Transport,1961,1.4157,7
Rail Transport,1962,0.4350,7
