group,variable,value
Afghanistan,1973,40.768
Afghanistan,1974,35.999
Afghanistan,1975,27.872
Afghanistan,1976,8.688
Afghanistan,1977,16.125
Afghanistan,1978,0.589
Afghanistan,1979,0.674
Afghanistan,1980,0.356
Afghanistan,1981,0.304
Afghanistan,1982,0.205
Afghanistan,1983,0.177
Afghanistan,1984,0.190
Afghanistan,1985,7.386
Afghanistan,1986,33.156
Afghanistan,1987,61.195
Afghanistan,1988,80.967
Afghanistan,1989,114.960
Afghanistan,1990,109.879
Afghanistan,1991,91.065
Afghanistan,1992,60.311
Afghanistan,1993,28.983
Afghanistan,1994,2.834
Afghanistan,1999,39.046
Afghanistan,2000,14.264
Afghanistan,2001,19.118
Afghanistan,2002,658.649
Afghanistan,2003,1124.796
Afghanistan,2004,1650.664
Afghanistan,2005,1973.239
Afghanistan,2006,1582.573
Afghanistan,2007,2390.445
Afghanistan,2008,3487.793
Afghanistan,2009,3222.518
Afghanistan,2010,3911.835
Afghanistan,2011,2503.754
Afghanistan,2012,3140.769
Afghanistan,2013,2356.889
Albania,1991,0.788
Albania,1995,41.656
Albania,1998,37.189
Albania,1999,85.888
Albania,2000,85.957
Albania,2001,65.586
Albania,2002,58.768
Albania,2003,53.008
Albania,2004,46.527
Albania,2005,46.604
Albania,2006,44.446
Albania,2007,25.898
Albania,2008,42.926
Albania,2009,32.069
Albania,2010,33.404
Albania,2011,27.536
Albania,2012,31.175
Albania,2013,21.044
Algeria,1973,0.927
Algeria,1980,104.312
Algeria,1981,15.194
Algeria,1983,163.929
Algeria,1985,0.497
Algeria,1988,77.291
Algeria,1989,350.394
Algeria,1990,40.190
Algeria,1991,971.209
Algeria,1992,887.122
Algeria,1993,407.188
Algeria,1994,77.450
Algeria,1997,201.587
Algeria,1998,20.407
Algeria,1999,0.451
Algeria,2000,461.715
Algeria,2001,588.569
Algeria,2002,15.561
Algeria,2003,3.852
Algeria,2004,4.450
Algeria,2005,1.288
Algeria,2006,3.137
Algeria,2007,4.740
Algeria,2008,12.218
Algeria,2009,11.274
Algeria,2010,13.858
Algeria,2011,9.535
Algeria,2012,10.260
Algeria,2013,12.754
Angola,1979,2.590
Angola,1980,237.327
Angola,1981,12.491
Angola,1982,4.378
Angola,1983,101.979
Angola,1984,49.292
Angola,1985,4.750
Angola,1986,8.069
Angola,1987,8.752
Angola,1988,8.596
Angola,1989,3.636
Angola,1990,4.585
Angola,1991,16.234
Angola,1992,24.588
Angola,1994,11.354
Angola,1995,15.265
Angola,1996,52.408
Angola,1997,149.351
Angola,1998,308.989
Angola,1999,232.250
Angola,2000,87.100
Angola,2001,48.201
Angola,2002,157.634
Angola,2003,183.616
Angola,2004,135.269
Angola,2005,72.175
Angola,2006,52.996
Angola,2007,51.633
Angola,2008,57.960
Angola,2009,59.444
Angola,2010,104.380
Angola,2011,73.447
Angola,2012,70.227
Angola,2013,61.705
Antigua & Barbuda,1982,2.692
Antigua & Barbuda,1983,34.823
Antigua & Barbuda,1985,1.289
Antigua & Barbuda,1986,1.081
Antigua & Barbuda,1988,5.923
Antigua & Barbuda,1990,4.082
Antigua & Barbuda,1999,0.535
Antigua & Barbuda,2000,0.521
Antigua & Barbuda,2001,0.587
Antigua & Barbuda,2003,0.001
Antigua & Barbuda,2005,0.007
Antigua & Barbuda,2009,0.026
Antigua & Barbuda,2010,0.222
Antigua & Barbuda,2011,0.180
Antigua & Barbuda,2012,0.156
Antigua & Barbuda,2013,0.245
Argentina,1980,193.044
Argentina,1981,176.813
Argentina,1982,1125.170
Argentina,1987,121.566
Argentina,1988,500.090
Argentina,1989,143.007
Argentina,1990,251.127
Argentina,1991,144.831
Argentina,1992,216.103
Argentina,1993,746.750
Argentina,1994,937.895
Argentina,1995,773.754
Argentina,1996,1609.855
Argentina,1997,236.059
Argentina,1998,69.469
Argentina,1999,1428.142
Argentina,2000,270.311
Argentina,2001,4.237
Argentina,2002,1.597
Argentina,2003,12.289
Argentina,2004,218.038
Argentina,2005,1.308
Argentina,2006,2.619
Argentina,2007,13.383
Argentina,2008,3.517
Argentina,2009,3.246
Argentina,2010,5.625
Argentina,2011,2.411
Argentina,2012,3.261
Argentina,2013,3.899
Armenia,1994,120.353
Armenia,1995,93.350
Armenia,1996,115.582
Armenia,1997,108.585
Armenia,1998,77.129
Armenia,1999,150.075
Armenia,2000,125.868
Armenia,2001,119.952
Armenia,2002,132.368
Armenia,2003,81.284
Armenia,2004,83.050
Armenia,2005,70.545
Armenia,2006,335.746
Armenia,2007,83.227
Armenia,2008,216.657
Armenia,2009,62.568
Armenia,2010,72.696
Armenia,2011,41.920
Armenia,2012,32.801
Armenia,2013,46.112
Azerbaijan,1994,30.098
Azerbaijan,1995,13.694
Azerbaijan,1996,7.674
Azerbaijan,1997,14.557
Azerbaijan,1998,32.794
Azerbaijan,1999,64.338
Azerbaijan,2000,150.782
Azerbaijan,2001,53.224
Azerbaijan,2002,73.241
Azerbaijan,2003,60.554
Azerbaijan,2004,64.377
Azerbaijan,2005,59.875
Azerbaijan,2006,56.197
Azerbaijan,2007,53.240
Azerbaijan,2008,34.831
Azerbaijan,2009,43.798
Azerbaijan,2010,47.421
Azerbaijan,2011,36.956
Azerbaijan,2012,29.399
Azerbaijan,2013,22.830
Bahamas,1980,18.398
Bahamas,1985,11.841
Bahamas,1986,0.799
Bahamas,1990,16.283
Bahamas,1991,18.848
Bahamas,1998,29.616
Bahamas,1999,1.352
Bahamas,2000,8.810
Bahamas,2001,8.003
Bahamas,2002,7.370
Bahamas,2003,7.325
Bahamas,2004,8.627
Bangladesh,1973,389.208
Bangladesh,1974,472.447
Bangladesh,1975,1030.154
Bangladesh,1976,649.099
Bangladesh,1977,241.184
Bangladesh,1978,230.310
Bangladesh,1979,222.310
Bangladesh,1980,418.608
Bangladesh,1981,351.240
Bangladesh,1982,413.537
Bangladesh,1983,385.139
Bangladesh,1984,361.393
Bangladesh,1985,321.493
Bangladesh,1986,233.679
