group,variable,value
United States,Indonesia,20.971
United States,India,16.530
United States,Egypt,60.283
United States,China,14.944
United States,Iraq,43.513
United States,Pakistan,23.740
United States,Philippines,16.788
United States,Bangladesh,10.822
United States,Israel,52.078
United States,Afghanistan,28.799
United States,Viet Nam,1.370
United States,Russia,20.002
United States,Tanzania,5.441
United States,Thailand,6.496
United States,Mozambique,5.138
United States,Turkey,14.592
United States,Nigeria,7.121
United States,Kenya,8.955
United States,Brazil,13.548
United States,Morocco,6.209
United States,"Congo, Democratic Republic of",8.383
United States,Mexico,19.531
United States,Ethiopia,10.183
United States,Sri Lanka,3.375
United States,Sudan,10.743
United States,Peru,8.644
United States,Papua New Guinea,0.834
United States,Zambia,4.912
United States,Ghana,4.481
United States,Jordan,12.218
United States,Colombia,17.104
United States,Poland,2.509
United States,Tunisia,2.863
United States,Cameroon,1.148
United States,Cote d`Ivoire,2.434
United States,Uganda,5.317
United States,Bolivia,5.616
United States,Malaysia,3.460
United States,Senegal,2.752
United States,Palestinian Adm. Areas,7.282
United States,Nicaragua,3.527
United States,South Africa,6.679
United States,Algeria,4.471
United States,Myanmar,0.581
United States,Mali,2.763
United States,Serbia,3.828
United States,Argentina,9.219
United States,Haiti,8.071
United States,Zimbabwe,3.111
United States,Nepal,1.798
United States,Burkina Faso,1.387
United States,Honduras,5.395
United States,El Salvador,9.050
United States,Malawi,2.724
United States,Madagascar,1.826
United States,Yemen,2.519
United States,Cambodia,2.946
United States,Somalia,2.883
United States,Venezuela,9.627
United States,Guatemala,5.241
United States,Angola,2.473
United States,Rwanda,2.123
United States,Syria,2.456
United States,Niger,1.384
United States,Bosnia-Herzegovina,1.608
United States,Lebanon,2.369
United States,"Congo, Republic of",0.237
United States,Ukraine,4.467
United States,Ecuador,2.189
United States,Jamaica,4.195
United States,Benin,1.212
United States,Dominican Republic,4.324
United States,Liberia,3.499
United States,Guinea,1.502
United States,Chile,3.691
United States,Laos,0.273
United States,Costa Rica,3.133
United States,Uzbekistan,2.769
United States,Iran,0.036
United States,Georgia,3.432
United States,Sierra Leone,0.846
United States,Chad,1.585
United States,Burundi,0.907
United States,Mauritania,0.512
United States,Albania,0.780
United States,Botswana,1.437
United States,Togo,0.401
United States,Mongolia,0.992
United States,Namibia,1.459
United States,Gabon,0.232
United States,Cape Verde,0.414
United States,Timor-Leste,0.416
United States,South Sudan,2.210
United States,Solomon Islands,0.009
United States,Kazakhstan,1.690
United States,Armenia,2.170
United States,Paraguay,0.584
United States,Panama,2.161
United States,Azerbaijan,0.950
United States,Kosovo,1.126
United States,Kyrgyz Republic,1.463
United States,Lesotho,1.086
United States,Mauritius,0.205
United States,Cuba,0.196
United States,Central African Republic,0.300
United States,"Macedonia, FYR",0.780
United States,Guinea-Bissau,0.146
United States,Guyana,0.775
United States,Tajikistan,0.974
United States,Eritrea,0.586
United States,Croatia,0.937
United States,Moldova,1.120
United States,Djibouti,0.219
United States,Bhutan,0.003
United States,Swaziland,0.601
United States,Uruguay,0.419
United States,Gambia,0.264
United States,Samoa,0.048
United States,Belize,0.483
United States,Turkmenistan,0.859
United States,Comoros,0.012
United States,Libya,0.240
United States,Belarus,0.301
United States,Maldives,0.009
Japan,Indonesia,67.416
Japan,India,48.830
Japan,Egypt,10.895
Japan,China,49.205
Japan,Iraq,14.716
Japan,Pakistan,20.626
Japan,Philippines,37.925
Japan,Bangladesh,17.912
Japan,Israel,0.004
Japan,Afghanistan,4.467
Japan,Viet Nam,25.699
Japan,Russia,2.748
Japan,Tanzania,4.812
Japan,Thailand,35.438
Japan,Mozambique,1.708
Japan,Turkey,7.737
Japan,Nigeria,4.645
Japan,Kenya,5.552
Japan,Brazil,10.406
Japan,Morocco,3.882
Japan,"Congo, Democratic Republic of",2.419
Japan,Mexico,6.834
Japan,Ethiopia,1.656
Japan,Sri Lanka,12.925
Japan,Sudan,1.788
Japan,Peru,7.142
Japan,Papua New Guinea,1.496
Japan,Zambia,3.826
Japan,Ghana,3.995
Japan,Jordan,3.962
Japan,Colombia,1.414
Japan,Poland,0.117
Japan,Tunisia,3.399
Japan,Cameroon,0.720
Japan,Cote d`Ivoire,0.894
Japan,Uganda,1.208
Japan,Bolivia,3.578
Japan,Malaysia,14.103
Japan,Senegal,1.785
Japan,Palestinian Adm. Areas,0.902
Japan,Nicaragua,1.383
Japan,South Africa,1.176
Japan,Algeria,0.936
Japan,Myanmar,11.619
Japan,Mali,0.919
Japan,Serbia,0.616
Japan,Argentina,2.082
Japan,Haiti,0.618
Japan,Zimbabwe,1.067
Japan,Nepal,3.442
Japan,Burkina Faso,0.605
Japan,Honduras,2.310
Japan,El Salvador,1.060
Japan,Malawi,1.348
Japan,Madagascar,1.796
Japan,Yemen,1.806
Japan,Cambodia,3.150
Japan,Somalia,0.483
Japan,Venezuela,0.797
Japan,Guatemala,1.005
Japan,Angola,0.463
Japan,Rwanda,0.587
Japan,Syria,2.201
Japan,Niger,0.968
Japan,Bosnia-Herzegovina,0.570
Japan,Lebanon,0.204
Japan,"Congo, Republic of",0.059
Japan,Ukraine,0.282
Japan,Ecuador,1.413
Japan,Jamaica,0.699
Japan,Benin,0.577
Japan,Dominican Republic,0.841
Japan,Liberia,0.557
Japan,Guinea,0.888
Japan,Chile,0.703
Japan,Laos,2.405
Japan,Costa Rica,0.930
Japan,Uzbekistan,2.304
Japan,Iran,1.208
Japan,Georgia,0.394
Japan,Sierra Leone,0.454
Japan,Chad,0.124
Japan,Burundi,0.390
Japan,Mauritania,0.821
Japan,Albania,0.276
Japan,Botswana,0.351
Japan,Togo,0.357
Japan,Mongolia,2.302
Japan,Namibia,0.217
Japan,Gabon,0.175
Japan,Cape Verde,0.451
Japan,Timor-Leste,0.385
Japan,South Sudan,0.297
Japan,Solomon Islands,0.393
Japan,Kazakhstan,1.283
Japan,Armenia,0.346
Japan,Paraguay,2.387
